,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
83,5.95,7.91,7,4.41,7.32,5.56,5.13,6.72,6.36,6.69,6.05,4.16,3.41,6.76,6.57
84,5.96,8.07,7.66,5.29,7.64,5.56,5.05,6.67,6.54,6.94,5.77,4.29,3.59,6.47,6.07
85,5.96,8.26,8.44,5.21,7.73,6,5.17,6.26,6.39,8.35,5.6,4.5,4.07,6.37,5.94
86,6.24,8.26,8.37,4.75,7.49,5.63,5.21,6.33,6.6,8.89,5.59,4.35,3.18,6.94,5.85
87,6.61,8.26,7.95,5.47,6.87,5.48,5.31,6.47,6.86,8.08,5.51,4.33,3.99,7.3,5.84
88,4.42,8.41,7.51,6.64,6.66,5.7,5.31,7.3,6.15,7.72,5.76,4.42,4.46,7.42,5.91
89,4.87,8.44,7.84,10.2,6.48,5.95,5.96,8.68,5.54,7.81,5.23,4.44,4.79,7.4,6.08
90,13.8,8.47,8.41,10.1,6.24,6.83,6.09,9.75,5.12,7,5.18,5.6,4.96,7.39,6.06
91,19.4,8.43,8.58,6.36,6.21,7.06,5.98,10.9,5.24,6.43,5.39,7.97,6.6,7.77,6.28
92,13.1,8.59,8.53,5.6,6.21,7.3,7.01,9.88,4.96,6.86,5.14,8.13,6.86,7.82,6.24
93,10.4,8.34,9.6,6.01,6.81,7.37,7.39,10.6,5.58,6.12,5.23,6.9,8.16,7.33,5.64
94,9.91,8.26,6.74,6.07,9.95,6.86,6.93,8.63,5.68,6.41,5.37,6.99,10.4,6.36,4.71
95,9.06,8.26,5.2,7.99,14.6,8.02,6.69,7.08,5.51,6.41,5.85,9.7,17,5.13,5.99
96,8.72,8.25,4.96,8.14,15.6,8.91,6.51,8.15,6.38,8,5.34,8.26,19.4,5.95,6.19
97,7.82,7.95,5.01,6.29,10.4,11.6,7.01,9.06,12.9,10.6,6.25,6.32,16.3,5.6,6.03
98,7.17,7.91,5.13,6.72,7.57,11.1,8.22,8.36,19.4,13.9,8.12,5.09,12.3,5.41,7.66
99,7.46,7.91,5.15,6.29,7.96,6.53,9.51,8.53,19,13.5,7.98,6.01,12.1,5.6,9.55
100,7.83,7.91,4.97,6.37,8.83,6.65,13,9.62,19.8,13.1,7.68,7.09,15.7,5.65,8
101,8.15,8.06,4.49,4.89,11.9,4.62,13,10.4,15.5,17,6.72,10.2,11.7,6.42,7.6
102,8.37,8.56,4.72,4.85,13.5,4.48,6.77,10,11.5,15.8,6.6,18,12.9,6.15,7.51
103,8.63,8.82,5.11,4.32,8.36,5.1,6.14,9.62,6.94,16.3,6.68,21.6,9.1,5.56,7.84
104,9.86,9.3,5.39,4.9,6.42,5.23,5.94,8.61,8.94,17.1,6.57,18.8,6.76,7.25,9.31
105,9.61,9.94,4.49,5.75,6.24,6.06,5.52,8.07,9.4,16.9,6.95,17.8,6.73,7.62,9
106,8.67,10.1,4.26,10.3,6.68,9.45,6.92,8.51,10.5,20.3,6.98,16.3,8.34,7.19,8.26
107,9.55,10.4,4.18,12.3,7.58,7.2,8.02,7.27,13.1,22,9.99,18.6,9.04,9.17,9.06
108,13.3,10.3,3.99,7.35,9.93,8.07,9.59,9.93,19.8,17.8,9.86,22.5,7.76,12.3,8.52
109,13.3,9.85,4.22,10.3,13,8.75,14.7,14.8,23.6,13.7,8.74,22.3,8.68,13.2,8.51
110,11.8,10.1,5.76,13.8,18.8,17.5,24.1,12.1,22.8,11.9,8.57,23.7,8.75,8.4,9.28
111,8.13,10.5,5.44,12.8,20.1,39.4,19.2,11.6,29.5,11.7,7.12,20.5,8.69,6.92,7.78
112,10.3,11.9,5.85,7.19,23,37.5,16.1,10.1,10.3,13.9,6.45,18.2,11.2,8.21,8.67
113,13.1,11.5,5.98,6.61,19.3,24.8,15.8,14.4,9.07,12.3,6.57,18.4,18.3,6.4,9.07
114,13.5,10.4,6.22,5.38,22.2,23.2,16.4,16,9.34,15.2,6.91,17.9,24.7,6.7,9.21
115,11.7,9.63,7.48,6.21,30.5,29.8,14.5,13.4,16.8,12.1,6.56,16.9,15.7,8.05,8.52
116,9.37,10.1,10.2,10.5,22.7,37.4,12.2,9.67,23.8,10.3,6.42,18.9,10.6,8.51,8.67
117,7.49,10.4,9.98,8.79,12.3,37,8.96,11,26.7,11.8,7.36,19.9,16.2,8.29,9.07
118,7.87,10.8,6.62,10.2,21.8,32.3,8.07,8.19,23.7,8.29,8.97,20.2,23.8,8.54,8.84
119,7.31,10.7,6.25,7.12,24.5,26.4,16.3,10.2,27.1,8.16,12.1,19.9,27.6,7.11,6.43
120,6.55,10.5,5.68,9.1,20.9,24.6,25.8,15.1,28.7,10.7,10.6,14.6,27.1,7.93,9.8
121,7.07,10.3,6.15,17.1,16.4,20.2,25.7,26.4,27.7,8.14,14.4,12.7,20.2,8.08,15.7
122,8.46,10.6,7.59,17.2,16.8,22.5,25.7,28.4,27.9,7.95,21.5,8.98,14,7.94,13.8
123,10.7,9.93,6.46,13.5,6.97,23.5,21.5,16.6,29.2,7.18,17.6,8.81,14.8,7.6,14.5
124,12.4,10.3,5.72,12.3,5.61,20.3,18.3,15.9,28.1,9.38,20.5,9.44,14,7.45,18.2
125,14.4,10.7,5.71,11.5,5.84,14.9,15.7,23.2,26.6,10.8,9.59,10.6,12.2,7.23,19.4
126,15.1,10.7,6.44,6.55,6.82,16.4,16.9,24.8,29,11.5,7.13,12.5,17.8,7.51,18.6
127,16.7,9.05,9.94,6.23,7.43,16.1,15.4,22.4,25.4,12.2,8.43,13.6,16.5,8.3,18
128,15.8,8.52,11.2,5.76,6.14,17.8,15.6,28.4,19.4,13.4,13.3,13,22,6.8,19.8
129,13,8.47,11.8,6.44,9.89,16.5,17.3,32.4,21.6,12.7,16.1,9.13,16.4,6.05,19.9
130,12.9,9.97,12.8,9.95,13.5,15.4,11.6,27.1,22.4,9.96,12.7,10.2,22.5,5.81,18.7
131,14.8,11,13.6,14.7,12.7,17.1,14.4,14.8,20.1,7.46,7.6,10.4,25.4,5.82,15.1
132,14.3,10.9,13.7,16.7,9.56,16.1,9.9,14.4,18.8,10,6.93,8.37,20.9,6.45,16.6
133,16.7,12.9,19.6,14.7,16.8,8.94,7.47,16.9,18.3,10.5,9.48,13.4,15.2,6.27,14.9
