,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
212,27.9,18.3,15.6,38.9,33.9,41.8,23.9,19.8,124,22.7,16.7
213,20.4,17.5,15.8,32.3,25.7,47,21.3,18.4,91.5,29.3,16.2
214,20.2,17,18.5,44.8,22.3,33.8,20.6,13.3,51.7,31.3,22.2
215,21,16.4,39.3,35.5,21.4,27.8,18.6,11.5,42.7,42.8,40.3
216,19.8,16.1,62.1,30.9,21.2,24.4,19.9,25.5,38.1,34.4,60.6
217,17.3,24.5,60.4,30.7,18.1,34.2,18.6,31,33.9,26.6,29.5
218,16.8,20.1,44.9,35.8,18.8,47.8,19.2,36.1,32.6,27.3,23.5
219,18.3,18.5,42.2,76.2,89.8,31.4,29.9,33.1,29.1,25.5,20.7
220,23.3,22.1,40.4,76.2,72.9,27.7,43.6,55.4,27.6,24.6,18.6
221,23.7,22.2,30.9,107,39.2,31.6,44.2,33.4,40.9,31.2,23.2
222,19.5,19.9,30.4,95.9,33.1,34.7,34.6,23.1,43.9,22.9,36.3
223,18.6,19,45.5,60.1,37.1,60.7,64.8,21.1,31,21.7,39.8
224,17.5,28.4,44.5,62.4,66.3,56.3,102,21.6,31.8,19.8,29.9
225,20.6,27.9,39.1,54.7,53.2,40,72.4,21.1,34.8,18.6,44.6
226,40,22.8,37,104,34.6,43.8,44.7,20,31.4,20,31.8
227,37,20.5,30.3,80.4,33.5,69.6,37.6,20,30.3,20.2,24.9
228,31,22.7,28.4,59.7,30.5,67.5,34.5,19.1,29.2,20.6,21.3
229,43.6,27.9,25,46.7,26.5,51.6,59.2,18.1,27.8,18.5,20
230,47.5,33.5,22.8,41.6,25.3,45.3,39,28.3,25.6,36,19.6
231,38.6,32,21.2,36.6,26.2,45.8,36.4,25,25.1,48.5,16.9
232,34,28.2,21.6,43.4,30.4,42.9,47.9,22.2,25,43.8,28.6
233,31.8,22.9,24.4,97.8,29.3,39.7,42.5,25.1,23.7,38,28.3
234,41.7,22.5,22.8,68,26.8,58.9,38.2,24.4,24.3,33,22.5
235,37.2,23.2,20,60.9,26.5,47.2,31.5,49.8,21.8,26.8,24.3
236,33.5,22.4,19.9,75.8,28.9,37.4,31.6,36.8,21,35.7,21.1
237,32.1,21.4,20.5,88.9,41.1,34.8,36.2,47.1,20.2,60,19.4
238,43,19.5,18.6,69.8,31.5,32.1,29.7,72.2,19.1,44.4,17.6
239,40.4,21.2,17.5,57.8,28.7,31.4,37.7,42.1,17.8,29.2,16.7
240,35.7,20.4,16.8,56.6,26.4,31.6,52.6,28.9,18.4,34.1,16.2
241,32.8,20.7,16.4,93.5,23.6,28.3,44.1,24.4,21.6,39.5,18.5
242,28.1,22.1,15.1,74.8,21.3,27.6,40.9,28.7,26.6,30.3,23.2
243,25.4,23.2,15.5,80.3,20.4,29.3,44.4,33.6,23,26.9,18.8
244,24.8,23,16.7,71.1,21.3,44.9,52.9,27.4,22.3,23.3,21
245,23.8,29,29.7,57.7,21.9,46.8,41.8,31.5,20.7,22.2,19.9
246,33.6,32.5,25.2,56.4,29.7,35.9,57.9,32.9,23.5,22.6,19.1
247,34.5,31.3,23.9,53.7,25.4,38.1,77,29,22.2,32.9,19.4
248,32.9,30.7,27.8,48.3,34.1,31.8,46,27.4,20.8,30.2,20
249,33.1,34.2,25.7,43.7,31.6,31.8,41.2,36.5,19.2,58.3,22.1
250,32.1,33.7,26.6,40.4,26.1,29.7,41.4,30.6,21.3,44.7,21.5
251,31.8,34.5,23.1,39.4,28.7,27.4,41.2,28.1,23.3,45.5,18.8
252,31.1,34.4,21.3,37.3,30.1,25.4,36.9,31.3,28.6,51.4,18.8
253,31,34.3,19.9,34.5,26.7,24.7,34.4,29.1,31.1,72.2,16.5
254,32.3,32.1,23.8,31.9,26.2,29.5,32,25.2,30.9,59.7,14.8
255,36.2,30.8,27.1,29.8,27.1,39,30.2,36.2,32.1,75.3,13.9
256,35.5,30.8,26.1,28.5,30.1,41.1,30.9,35.2,30.1,58.2,11.8
257,32,37.3,28.6,28.8,30.7,41.8,28.4,30.8,31.6,52.6,13.1
258,29.8,38.1,28.3,29,30.1,58.5,24.8,29.7,31.2,46,16.9
259,27.1,36.4,25.5,48.9,26.4,56.5,24,27.4,29.7,42.4,16.1
260,26.3,36.8,22,75.4,25.9,42.8,22.8,24.8,28.8,39.2,17.6
261,26.7,36.7,22.6,63.6,26.1,34.8,22.7,26.2,26.3,37.5,17.8
262,26.7,37,22.5,69.9,24.9,31.7,22.2,23.2,26.8,41,15.6
263,25.4,31.7,19.5,64.8,24.2,40,23,21.6,26,40.5,17.7
264,23.7,30,17.8,52,26,35.2,21.6,21.1,23.1,38,23.2
265,23.1,29.6,16.7,50.2,27.7,32.3,21,23.6,28.7,35.4,17
266,22.3,29.3,16.1,44.8,26.6,29.6,21.3,21.9,46.1,36.1,17.8
267,22.7,29.3,15.7,39.6,24,27.3,26.8,21.7,53.2,35.8,19.5
268,24.6,28,16,36.4,28.5,26.3,28.1,22.4,58.2,34.2,19.6
269,24.8,27.1,16.1,36.1,31.7,25,28.2,27.6,66.1,36.3,17.7
270,25.3,28.6,15.7,41.1,29.4,27.9,28.9,31.5,71.4,35.3,17
271,25.3,34.3,14.6,40.7,27.5,33.4,25.2,28.7,63.7,33.3,18.3
272,25.3,32.9,14.9,41,24.9,43.6,33.8,25.3,51.1,30.7,17.9
273,26.7,28.8,15,37.3,23.2,50,36.4,25.1,44.3,31.7,15.9
274,27.1,27.6,13.6,35.3,20.8,55,33.1,24,40.9,30.4,15.6
275,26.8,26.9,12.5,37.3,21.1,55.3,31.1,26.4,38.4,28.6,16.1
276,26.4,25.5,12.8,42.8,21.5,50.6,30.7,28.7,28.5,24.5,15.6
277,25.2,25,12.5,40.1,21.2,42,28.2,25.4,27.4,22.2,15.1
278,24.7,24.2,11.9,37.2,21.5,39.1,26.4,26.7,26,20.1,15.2
279,24,24.2,11.2,35.9,20,39.1,25.4,23.3,24.7,19.7,15.4
280,22.8,23.4,11,35,17.9,34.1,25.3,21.4,25,18.1,15.2
281,21.9,22.8,10.9,35.2,17.6,31.8,24,21.9,24.9,17,14.4
282,21.3,21.5,10.6,32.2,17,33,23.4,22,22.7,17.6,14.2
283,21.5,20.5,10.5,31.6,16.9,30.1,22.2,22.1,22.7,18.5,13.9
284,21,19.7,10.1,32,16.4,27.5,21.5,23.3,22.7,17.5,13.5
285,21,18.6,10.2,31.8,16.3,27.1,19.7,23.3,19.8,17.3,13.1
286,21.5,17.2,9.86,30.9,15.8,25.5,19.5,21.8,19.8,18.1,12.8
287,20.7,15.7,9.63,28.2,15.8,23.3,19.4,21.3,20.1,18,13.1
288,19.9,14.3,9.32,25.8,15.8,23.5,19.6,20.4,19.2,17.8,12.8
