time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
733001,11.06480007,9.073883322,8.87255361,7.341511377
733002,7.751428036,5.964977994,7.346193464,5.435902238
733003,9.96202828,8.418391235,8.174922746,6.985672816
733004,10.50210694,8.535443394,7.992321378,3.750351156
733005,12.37906171,11.56943534,11.38215189,9.270530949
733006,11.14954584,9.050472891,9.106657927,4.8319131
733007,13.62482442,11.31660268,9.148796704,2.739020508
733008,17.53399195,17.10366139,17.07556887,12.87573743
733009,13.50435434,13.75596966,14.95926585,5.403127634
733010,13.39671318,13.13325218,12.42625714,6.199082311
733011,9.744966757,7.06995037,7.308736773,5.117520367
733012,8.796422886,7.561569435,6.723475981,5.112838281
733013,8.068358461,5.908792958,5.712145332,4.368386553
733014,7.43711958,6.082030153,5.604457346,4.138964323
733015,7.577816275,5.810469145,5.641914037,4.438617848
733016,6.933046165,5.21584418,5.295439648,0.589942879
733017,8.773012454,6.348909074,6.236539002,1.685551082
733018,21.43028373,24.49667572,24.69332334,23.4759809
733019,61.44877798,66.58394981,63.51250117,61.82695009
733020,58.98862253,65.7645847,65.7645847,57.05590411
733021,59.00505665,65.7645847,65.7645847,48.6281487
733022,59.50374567,62.53394513,62.53394513,51.34844087
733023,57.4216687,62.00486937,61.97209477,44.73733496
733024,56.13741923,58.61035677,58.47925836,46.22623841
733025,51.75320723,54.88809814,56.18971814,38.36501545
733026,51.54653994,53.51156475,53.08081281,39.11414926
733027,47.39975653,50.58994288,50.51971158,38.00917689
733028,46.96497799,49.82208072,49.10103942,35.20928926
733029,45.34797266,48.22080719,47.76664482,29.24431127
733030,42.47925836,46.58207697,46.31988014,25.79361363
733031,39.62224927,42.91600337,42.3916097,25.42372881
733032,36.24913381,39.97097106,40.74351531,21.59846428
733033,36.11546025,38.79108531,37.6627025,24.17829385
733034,31.92485251,34.9892312,35.90692012,17.56250585
733035,32.92855136,35.61194868,34.24946156,18.25545463
733036,29.40762244,30.78003558,30.79876393,13.503137
733037,29.12192153,30.90645191,29.80147954,12.28579455
733038,25.81178013,26.55211162,26.54742953,9.139432531
733039,26.14327184,26.58956831,26.57552205,5.346942598
733040,28.83060212,29.70315573,29.66569904,15.46024909
733041,22.61929956,24.14551924,25.28794831,6.025845117
733042,20.87068078,21.17707651,20.51690233,7.322783032
733043,19.83776571,18.34441427,18.60192902,5.257982957
733044,19.02411274,18.79857665,17.88088772,5.482723101
733045,18.37737616,16.64949902,16.31707089,4.756999719
733046,18.07566252,18.25545463,16.79932578,8.315385336
733047,14.71270718,13.9479352,13.47972657,2.523644536
733048,12.72422511,12.48244218,12.473078,0.763180073
733049,13.17000655,12.41689297,12.39816462,0.313699785
733050,10.41263227,10.1788557,10.20226613,1.081561944
733051,10.32119112,9.996254331,8.165558573,2.570465399
733052,9.330695758,7.556887349,7.060586197,2.331678996
733053,9.375222399,7.889315479,6.971626557,2.41595655
