,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
166,62,19.1,33.3,17.3,37,25.2,18.9,77.3,37.3,22.8,26.2
167,33.4,17,32.1,16.7,39.5,24.6,17.4,102,34.2,38.9,24
168,23,14.9,60.3,19,29.5,24.6,19.2,87.2,31.5,47.4,24.2
169,20,15,69.1,36.3,28,37.9,18.1,83.9,24.1,103,24.4
170,19,17.3,51.4,35.8,26.5,44.6,20.7,71.8,20.9,93.3,25.8
171,16.8,18.3,62.9,28.6,23.8,32.2,20.5,45.6,27.8,55.5,26.4
172,16,16.3,60.9,25.6,23.6,30.8,29.4,36,45.9,39.7,26.1
173,16.5,15.5,59.9,40.5,24.5,31,32.4,33.2,49.8,30.1,25.6
174,18.4,16.9,41.3,47.5,26.7,39.3,28.9,39.8,62.8,24.8,26.6
175,31.6,18,32.3,58,24.2,40.3,24.7,41.7,41.1,26.3,47.7
176,33.2,19,30.4,122,23,45.3,22.9,38.8,29.8,37.4,44.8
177,46.2,22.3,40.6,95.4,27,38.4,21.8,35.6,32.2,45.7,34.4
178,73.6,37,37.8,50.9,35.2,52.8,22.6,35.2,30.6,55.3,49.3
179,114,39.8,35.2,35.5,45.3,82.9,20.8,40,31.3,49,83.9
180,93,56.5,39,35.1,65,50.8,21.7,40.2,26.6,33.8,165
181,47.2,31.9,42.3,34.8,127,40.9,24.2,40.7,28.4,28.4,121
182,30.5,22.9,34.4,32,69.7,67,26.2,90,21.7,27.5,134
183,26.1,18.9,32.8,28.1,43.5,78.6,35.1,66.7,24.4,25.9,218
184,54.1,16.1,30.6,29.3,35.2,112,29.7,48,25.8,25.5,187
185,84.1,15.3,30,28.4,32.9,106,37,84.7,32.1,25,144
186,39.6,17.5,28.2,31.9,30.5,92,30.8,88.4,52.1,27.4,96.2
187,30.1,32.5,28.6,30.6,26.5,75.5,54.7,80.1,39.4,53.1,94.1
188,29.8,60.5,41.8,27.2,24.6,62.8,114,55.4,30.7,40.1,161
189,62.1,52.3,70.8,26.8,24.9,53.3,87.5,54.8,29.3,85.7,126
190,38.6,72.9,131,30.7,87.8,63.4,74.2,50.5,26.3,52,230
191,29.1,48.5,296,34.9,92.3,69.9,76.6,43.3,26.2,93.5,120
192,25.1,32.3,129,44.5,97,50.8,50,43,109,111,95
193,22.4,26.4,117,41.9,71.2,42.3,35.1,61.2,126,87.4,96.1
194,21.7,23.8,214,61.3,49.4,49.9,32.1,67.5,94.7,76.2,107
195,21.5,22.7,97.4,50,37.2,47.3,35.7,54.8,79.4,55,96
196,20,24.7,184,39.4,30.6,43,37.4,42.4,65,111,114
197,19.4,34.8,138,61.4,27.2,39.5,40.4,40.8,44.9,194,149
198,20.1,54.4,97.9,48.6,27.9,37,53.5,93.4,40,146,158
199,23.6,125,72.6,37.9,36,38.9,111,90.8,66.4,88.8,86.7
200,72.2,83,66.7,51.4,30.4,83,74.5,143,51.2,62.3,59.7
201,59.1,76.9,61.6,52.7,26.4,94.1,96.7,181,42.8,56.8,47.4
202,38.4,51.4,60.3,48.7,24.7,59.3,172,133,38.2,69.6,42.9
203,35.5,38.8,48.7,56.1,25.9,49,170,92.8,36.4,71.5,44.1
204,34.9,35.3,41.9,43.6,28.7,50,101,74.8,37.3,69.1,41.3
205,46.3,41.2,40.9,36.3,39,40.1,62.5,54,36.4,54.6,39.1
206,51,35.1,37.2,34.5,36.6,35.8,48,44.5,107,56,36.3
207,57.1,99.1,33.8,63,57.3,52.8,41.2,40.8,78,75.4,34
208,49,84.7,32.2,64.7,67,55.3,37.3,40.5,113,65.3,33
209,98.7,62,30.8,48.8,49.5,62.6,35.6,36.1,130,51.2,32.4
210,111,54.6,41,170,56.1,69.6,33.5,35.3,241,45.7,36
211,91.1,42.7,55.7,129,63.2,88.3,34.1,33.3,124,43.8,56.4
212,49.5,36,39.5,75.8,49.9,77.9,33.3,32.6,270,46.5,51.8
213,37.2,35,36.1,66.1,38.3,61.2,30.2,31.9,235,66.8,75.9
214,40.9,34.6,41.8,66.9,35.2,54.8,29.1,29.5,150,64.6,98.7
215,41.9,34.1,99.2,53.4,35.4,44.3,27.9,29.5,99.4,101,125
216,35.9,41.9,133,47.7,34.9,39.2,27.7,45.2,76.7,63.2,136
217,34,54.4,128,55.1,35.2,43.9,26.9,68.9,61,48.7,76.5
218,41,36.9,110,60,34.8,55.1,27.2,68.1,53,55,60.2
219,76.3,38.3,117,102,50.8,45.1,30.9,51.7,47.6,53.6,53.6
220,63.6,37.9,121,79.6,45.3,39,50.6,55.2,43.7,74.9,45.7
221,43,33.9,81.6,116,38,42.2,51.5,52.5,94.7,62.3,46.1
222,34.1,29,66.1,99,39.6,44.9,47.9,52.6,105,47.2,48.2
223,29.8,27.9,73.9,71.7,57.7,102,85.9,46.1,70.9,40.4,60.7
224,27.1,48.6,70,73.9,65.1,78.3,221,40,84.2,35.7,54.5
225,24.9,46.1,61.9,71.8,55.7,55.3,111,35.1,105,33,63
226,29.9,36,55.1,84.6,47,98.6,76.6,32.6,106,35.2,45
227,40.7,32.1,48.3,66.8,50.5,133,57.3,35.9,92.8,35.5,37.3
228,36.5,33.8,43.2,54.9,59,99.1,54.2,45.3,91.8,32.9,32.3
229,47,46.8,38.2,47.6,44.8,77.8,80.1,47.2,82.1,32.4,31.8
230,47,55.6,35.2,43.4,37.2,61.7,63.6,91.5,66.9,57.6,32.6
231,36.8,47.4,34.1,38.2,38.2,59.8,58.4,88.8,56.9,63.6,32.8
232,30.3,37.7,34.4,37.4,49.3,60.7,67.6,129,51.4,83,45.4
233,30.1,34.3,35.9,66.5,53.6,56.9,54.8,106,52.4,82.1,48
234,50.5,41.4,34,69.2,45.6,86.9,48.1,68.2,48,83.9,39
235,64.4,43.9,31,69.7,39.9,69.3,44.3,118,39.4,74.3,39.4
236,50.2,38.8,31,63.9,46.9,55.9,45.9,83.5,34.8,181,37.8
237,46.7,33.6,32.8,92.3,74.6,52.2,47.4,71.7,33.5,202,35
238,82.3,32.4,30.1,84.8,69.3,46.1,42.2,86,41,120,31.7
239,84.2,33.7,27.6,64.9,52.8,41.2,52.4,67.3,40.4,83.8,29.9
240,61.6,31.6,26.6,58.6,42.9,41.8,73.6,56.7,33.6,88.6,29.5
241,42.3,28.1,25.3,121,36.7,38.6,70.5,62.9,35.6,86,31.2
242,35.7,30.4,24.7,92.4,32.5,37.5,63.5,73.2,42,73.7,39.7
243,32.3,31.4,25.1,88,29.9,42.2,60,75.4,37,67.5,35.8
244,28.9,29.5,25.3,79.7,27.8,45.3,71.3,67.6,33.4,60.4,32.6
245,25.8,39.8,25.5,66.8,27.1,52.5,58.1,66.6,32.6,56,31.8
246,33.8,44.5,24.7,65,37.5,42.8,104,65.1,34.7,62.8,31.4
247,37,47.7,26,65,50.9,39.8,82,53.3,34.7,75.8,30.9
248,41.3,48.2,27,69.9,58.3,37.1,61.8,49.9,31.4,105,33
249,36,53,32.8,64.7,58.2,38.5,53,57.2,29.9,130,35.1
250,31.6,56.2,42.4,58.2,59.8,36.4,50,51.2,31.4,123,32.4
251,28.3,51.1,36.8,54.3,56.1,33.9,45,47.3,33.2,136,28.2
252,25.9,51.6,35.4,49,53.2,31.6,39.6,66.1,45.6,112,27.6
253,24.5,54.4,33.8,45,47.1,30.2,36.2,76.3,57.2,130,27.4
254,24.8,48,34.3,42.2,46.6,38.2,33.9,56.8,57.1,109,26
255,27,54.2,35.3,39.6,47.5,57.4,32,66.2,49.9,171,23.7
256,28.3,55.2,45.3,36.5,44.6,57.4,33.6,91.2,45.9,146,22.7
257,30.3,64.9,50.2,34.2,40.9,58.8,33.1,81.4,48,131,22.7
258,29.9,69,43,33.1,37.8,81,29.6,72.7,44.4,120,32.5
259,29.7,82.2,37,53.1,35.2,71,28.1,65.8,40,111,29.2
260,29,82.8,33.7,70,33.4,58.5,27.1,61.5,36.5,91.3,44.2
261,27.9,120,31.9,66.8,32.3,51.1,27,61.5,35.8,89.3,59.5
262,27.3,116,33.3,69.2,31.5,47.1,26.5,51.4,36.3,82.7,51.7
263,25.7,99.8,31.7,60.9,30.8,53.2,25.1,46.2,33.6,78.3,50.3
264,24.6,83.1,29.6,52.3,32.4,49.9,24.1,44.3,31.9,68.1,78.9
265,22.4,73.3,26.9,46.4,31.4,42.9,27.5,39.4,50.9,62,58.9
266,21.7,70.9,25.7,42.3,28.9,39.6,26.8,37.7,82.6,56.4,44.3
267,21.7,61.4,26.9,38.4,28.3,38.1,38.6,38.2,85.1,52.1,42.2
268,23.5,53.7,26.1,35.9,32.8,36.5,37.5,44.7,97.2,53.8,40.9
269,27.6,49.8,26.6,42.6,40.2,37.2,40.5,58.3,93.3,52.9,36.3
270,30.4,46.5,26.1,45.7,37.2,38.1,42.5,63.2,112,48.6,35.2
271,30.1,50.8,24.2,54,34.2,43,45.4,60.6,99.6,45.3,35.9
272,30.8,50.8,23.6,57.5,31.7,52.5,50.2,53.7,86.3,43.8,35.4
273,30.1,44,23.7,55.2,29.9,49.5,48.7,50.2,73,44.5,34.4
274,28.8,42,22.7,53.1,28.7,47.2,44.4,50,64.5,41.1,33.2
275,28.5,37.6,21.9,53.7,25.3,49.6,42.1,49.4,57.6,38.4,32
276,26.1,34,21.5,55.8,25.2,48.2,39.8,54.9,51.8,36.3,29
277,24.6,33.8,20.8,54.6,25,41.6,36.6,60.1,48.9,33.3,27.2
278,23.7,32.7,20.5,51.2,25.1,40,33.8,53.5,46.4,32.7,26.1
279,22.7,31,20,46.1,25.2,40,32,52.2,41.4,31.9,25.7
280,21.6,28.9,19.3,42.9,24.7,38.7,30.5,49.1,39.8,32,25.7
281,20.9,26.4,18.6,40.5,23.1,35.9,28.5,47.6,38.4,32.3,25.4
282,20.2,25.8,18.6,39.2,22.8,33.4,28,46.9,37.4,31.6,24.8
283,19.5,25.7,18.2,37.6,22.8,32.1,27,48.4,35.4,31.7,23.7
284,19.6,24.7,17.7,37.6,21.3,31.5,26.1,45,34.1,31.5,22.4
285,19.5,25.7,17.3,36.4,20.4,30.5,25,41.9,33.3,29.9,21.9
286,19.4,24.7,17.3,33.8,20.3,28.9,24.2,38.7,32.8,29.3,22.2
287,19.4,23.1,16.8,31.9,20.1,27.9,23.4,36.9,32.3,29,22.5
288,19.4,21.2,16.2,30.8,20.2,26.2,23.1,35,31.9,28.6,22.6
