Day number,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
343,16.9,12.5,17.2,25.6,11.1,28.4,17.4,0,16.8,27.8
344,16.6,12.3,16.9,27.9,11.3,25.3,16.8,0,5.95,27.6
345,16.6,13,16.1,22.2,11.3,26.5,17.7,0,0,27.6
346,16.3,14.9,14.7,21,11,27,17.2,0,9.31,27.8
347,16.6,15.2,15.04,22.8,15.8,26.1,18.1,0,7.12,27.3
348,14,14.2,18,22.1,23.8,25.9,18.1,0,0,26.2
349,14.4,14.1,18.3,24.4,23.7,25.8,17.7,0,0,26.7
350,14.8,13.6,18.9,22.5,23.2,25.5,18.1,0,14.1,28.6
351,14.9,13.6,18.6,8,13.4,25.4,18.1,0,30.9,37.6
352,15,14.1,14.6,4.19,11.9,25.4,16.8,0,33.9,42.8
353,14.9,15.7,16.4,4.11,12.1,24.7,17.7,0,32.4,39.1
354,15.1,14.1,16,4.18,11.5,15,18.4,0,31.5,20.2
355,14.7,13.6,14,4.08,11.8,13.5,18.4,0,31.6,15.3
356,14.5,12.2,14.1,4.11,11.5,13.9,17.9,0,31.3,17.3
357,14.3,12,15.3,4.26,11.9,13.1,18.3,0,32.7,17.4
358,14.1,11.8,13.6,4.38,12.4,12.3,17.5,0,30.3,16.7
359,14.4,13.7,14.2,4.48,11.3,11.9,26.3,0,36,16.1
360,14.1,14.7,13.5,4.55,11.3,12.4,34.2,13.5,39.6,12.9
361,14.2,15.4,13.9,10.7,10.8,10,33.9,29.2,38.3,16.9
362,14.2,11.8,15.8,13.1,10.5,9.44,34.6,26.4,40.3,13.8
363,13.1,14,15.8,13.1,11.6,9.54,35.6,18.3,42.4,2.21
364,13.8,14,16.1,13.4,11.5,9.88,35.3,12.7,20,10.2
365,13.5,13.4,16.5,14.2,14.4,10.1,35.5,11.7,0,16.4
366,13.8,,,,13.1,,,,0,
,,,,,,,,,,
